mpg,weight
16.0,3781.0
16.0,3632.0
18.0,3613.0
16.0,4141.0
13.0,4699.0
14.0,4457.0
14.0,4638.0
14.0,4257.0
29.0,2219.0
26.0,1963.0
26.0,2300.0
31.0,1649.0
32.0,2003.0
28.0,2125.0
24.0,2108.0
26.0,2246.0
24.0,2489.0
26.0,2391.0
31.0,2000.0
19.0,3264.0
18.0,3459.0
15.0,3432.0
15.0,3158.0
16.0,4668.0
15.0,4440.0
16.0,4498.0
14.0,4657.0
17.0,3907.0
16.0,3897.0
15.0,3730.0
18.0,3785.0
21.0,3039.0
20.0,3221.0
13.0,3169.0
29.0,2171.0
23.0,2639.0
20.0,2914.0
23.0,2592.0
24.0,2702.0
25.0,2223.0
24.0,2545.0
18.0,2984.0
29.0,1937.0
19.0,3211.0
23.0,2694.0
23.0,2957.0
22.0,2945.0
25.0,2671.0
33.0,1795.0
28.0,2464.0
25.0,2220.0
25.0,2572.0
26.0,2255.0
27.0,2202.0
17.5,4215.0
16.0,4190.0
15.5,3962.0
14.5,4215.0
22.0,3233.0
22.0,3353.0
24.0,3012.0
22.5,3085.0
29.0,2035.0
24.5,2164.0
29.0,1937.0
33.0,1795.0
20.0,3651.0
18.0,3574.0
18.5,3645.0
17.5,3193.0
29.5,1825.0
32.0,1990.0
28.0,2155.0
26.5,2565.0
20.0,3150.0
13.0,3940.0
19.0,3270.0
19.0,2930.0
16.5,3820.0
16.5,4380.0
13.0,4055.0
13.0,3870.0
13.0,3755.0
31.5,2045.0
30.0,2155.0
36.0,1825.0
25.5,2300.0
33.5,1945.0
17.5,3880.0
17.0,4060.0
15.5,4140.0
15.0,4295.0
17.5,3520.0
20.5,3425.0
19.0,3630.0
18.5,3525.0
16.0,4220.0
15.5,4165.0
15.5,4325.0
16.0,4335.0
29.0,1940.0
24.5,2740.0
26.0,2265.0
25.5,2755.0
30.5,2051.0
33.5,2075.0
30.0,1985.0
30.5,2190.0
22.0,2815.0
21.5,2600.0
21.5,2720.0
43.1,1985.0
36.1,1800.0
32.8,1985.0
39.4,2070.0
36.1,1800.0
19.9,3365.0
19.4,3735.0
20.2,3570.0
19.2,3535.0
20.5,3155.0
20.2,2965.0
25.1,2720.0
20.5,3430.0
19.4,3210.0
20.6,3380.0
20.8,3070.0
18.6,3620.0
18.1,3410.0
19.2,3425.0
17.7,3445.0
18.1,3205.0
17.5,4080.0
30.0,2155.0
27.5,2560.0
27.2,2300.0
30.9,2230.0
21.1,2515.0
23.2,2745.0
23.8,2855.0
23.9,2405.0
20.3,2830.0
17.0,3140.0
21.6,2795.0
16.2,3410.0
31.5,1990.0
29.5,2135.0
21.5,3245.0
19.8,2990.0
22.3,2890.0
20.2,3265.0
20.6,3360.0
17.0,3840.0
17.6,3725.0
16.5,3955.0
18.2,3830.0
16.9,4360.0
15.5,4054.0
19.2,3605.0
18.5,3940.0
31.9,1925.0
34.1,1975.0
35.7,1915.0
27.4,2670.0
25.4,3530.0
23.0,3900.0
27.2,3190.0
23.9,3420.0
34.2,2200.0
34.5,2150.0
31.8,2020.0
37.3,2130.0
28.4,2670.0
28.8,2595.0
26.8,2700.0
33.5,2556.0
41.5,2144.0
38.1,1968.0
32.1,2120.0
37.2,2019.0
28.0,2678.0
26.4,2870.0
24.3,3003.0
19.1,3381.0
34.3,2188.0
29.8,2711.0
31.3,2542.0
37.0,2434.0
32.2,2265.0
46.6,2110.0
27.9,2800.0
40.8,2110.0
44.3,2085.0
43.4,2335.0
36.4,2950.0
30.0,3250.0
44.6,1850.0
33.8,2145.0
29.8,1845.0
32.7,2910.0
23.7,2420.0
35.0,2500.0
32.4,2290.0
27.2,2490.0
26.6,2635.0
25.8,2620.0
23.5,2725.0
30.0,2385.0
39.1,1755.0
39.0,1875.0
35.1,1760.0
32.3,2065.0
37.0,1975.0
37.7,2050.0
34.1,1985.0
34.7,2215.0
34.4,2045.0
29.9,2380.0
33.0,2190.0
33.7,2210.0
32.4,2350.0
32.9,2615.0
31.6,2635.0
28.1,3230.0
30.7,3160.0
25.4,2900.0
24.2,2930.0
22.4,3415.0
26.6,3725.0
20.2,3060.0
17.6,3465.0
28.0,2605.0
27.0,2640.0
34.0,2395.0
31.0,2575.0
29.0,2525.0
27.0,2735.0
24.0,2865.0
36.0,1980.0
37.0,2025.0
31.0,1970.0
38.0,2125.0
36.0,2125.0
36.0,2160.0
36.0,2205.0
34.0,2245.0
38.0,1965.0
32.0,1965.0
38.0,1995.0
25.0,2945.0
38.0,3015.0
26.0,2585.0
22.0,2835.0
32.0,2665.0
36.0,2370.0
27.0,2950.0
27.0,2790.0
44.0,2130.0
32.0,2295.0
28.0,2625.0
31.0,2720.0
